Source,Detector,Chroma,Condition,Variable,Value
Source,Detector,hbo,Go:Group_Short,ChannelStats_p,0.304862641297423
Source,Detector,hbo,Go:Group_Short,ChannelStats_q,0.696828894394109
Source,Detector,hbo,Go:Group_Short,ChannelStats_tstat,1.03491336917347
Source,Detector,hbo,Go:Group_Short,ChannelStats_beta,0.701532056022712
Source,Detector,hbo,Go:Group_Short,ChannelStats_power,0.698054028537873
Source,Detector,hbo,Go:Group_Short,ChannelStats_se,0.677865487990547
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_p,0.0119955834325935
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_q,0.0959646674607484
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_tstat,2.59106295837224
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_beta,1.79578159554706
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_power,0.81918136864163
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_se,0.693067526493143
Source,Detector,hbo,Go:Group_Long,ChannelStats_p,0.0594642764929401
Source,Detector,hbo,Go:Group_Long,ChannelStats_q,0.237353156210126
Source,Detector,hbo,Go:Group_Long,ChannelStats_tstat,-1.92117440667824
Source,Detector,hbo,Go:Group_Long,ChannelStats_beta,-1.35722515187924
Source,Detector,hbo,Go:Group_Long,ChannelStats_power,0.631886779479596
Source,Detector,hbo,Go:Group_Long,ChannelStats_se,0.706455981904275
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_p,0.889439120856515
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_q,0.957807682764167
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_tstat,0.139605681399026
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_beta,0.097950747218864
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_power,0.913016689995294
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_se,0.701624362542222
Source,Detector,hbr,Go:Group_Short,ChannelStats_p,0.569914165869686
Source,Detector,hbr,Go:Group_Short,ChannelStats_q,0.828966059446816
Source,Detector,hbr,Go:Group_Short,ChannelStats_tstat,-0.571323813458054
Source,Detector,hbr,Go:Group_Short,ChannelStats_beta,-0.110594716769419
Source,Detector,hbr,Go:Group_Short,ChannelStats_power,0.771337819442323
Source,Detector,hbr,Go:Group_Short,ChannelStats_se,0.193576241991423
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_p,0.0741728613156643
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_q,0.237353156210126
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_tstat,1.8172534383362
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_beta,0.352803845347991
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_power,0.637071534163927
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_se,0.194141245191976
Source,Detector,hbr,Go:Group_Long,ChannelStats_p,0.359086954530442
Source,Detector,hbr,Go:Group_Long,ChannelStats_q,0.718173909060884
Source,Detector,hbr,Go:Group_Long,ChannelStats_tstat,0.924194780905919
Source,Detector,hbr,Go:Group_Long,ChannelStats_beta,0.184805401000618
Source,Detector,hbr,Go:Group_Long,ChannelStats_power,0.71170030246791
Source,Detector,hbr,Go:Group_Long,ChannelStats_se,0.199963692523201
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_p,0.448876902850961
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_q,0.798003382846154
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_tstat,0.762283954878768
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_beta,0.152151415956163
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_power,0.735460595878314
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_se,0.199599394664368
Source,Detector,hbo,Go:Group_Short,ChannelStats_p,0.819807068380098
Source,Detector,hbo,Go:Group_Short,ChannelStats_q,0.957807682764167
Source,Detector,hbo,Go:Group_Short,ChannelStats_tstat,0.228794012409046
Source,Detector,hbo,Go:Group_Short,ChannelStats_beta,0.177265251296965
Source,Detector,hbo,Go:Group_Short,ChannelStats_power,0.872715401134538
Source,Detector,hbo,Go:Group_Short,ChannelStats_se,0.774780989373289
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_p,0.0076316644613781
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_q,0.0959646674607484
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_tstat,2.7611163186891
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_beta,2.13031747119108
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_power,0.859794114648398
Source,Detector,hbo,NoGo:Group_Short,ChannelStats_se,0.77154209577179
Source,Detector,hbo,Go:Group_Long,ChannelStats_p,0.0615684653194704
Source,Detector,hbo,Go:Group_Long,ChannelStats_q,0.237353156210126
Source,Detector,hbo,Go:Group_Long,ChannelStats_tstat,-1.90505814118674
Source,Detector,hbo,Go:Group_Long,ChannelStats_beta,-1.33883182539181
Source,Detector,hbo,Go:Group_Long,ChannelStats_power,0.632660991473741
Source,Detector,hbo,Go:Group_Long,ChannelStats_se,0.702777409490397
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_p,0.957807682764167
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_q,0.957807682764167
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_tstat,-0.053126407407253
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_beta,-0.0370860635288206
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_power,0.96218484069684
Source,Detector,hbo,NoGo:Group_Long,ChannelStats_se,0.698072114015327
Source,Detector,hbr,Go:Group_Short,ChannelStats_p,0.911386059892631
Source,Detector,hbr,Go:Group_Short,ChannelStats_q,0.957807682764167
Source,Detector,hbr,Go:Group_Short,ChannelStats_tstat,-0.111760873528568
Source,Detector,hbr,Go:Group_Short,ChannelStats_beta,-0.0234750502210181
Source,Detector,hbr,Go:Group_Short,ChannelStats_power,0.92755247949964
Source,Detector,hbr,Go:Group_Short,ChannelStats_se,0.210047125437128
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_p,0.846868189042221
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_q,0.957807682764167
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_tstat,0.193952552992555
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_beta,0.0408165771424475
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_power,0.887451785876474
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_se,0.210446196828428
Source,Detector,hbr,Go:Group_Long,ChannelStats_p,0.556519594545002
Source,Detector,hbr,Go:Group_Long,ChannelStats_q,0.828966059446816
Source,Detector,hbr,Go:Group_Long,ChannelStats_tstat,0.591331637694857
Source,Detector,hbr,Go:Group_Long,ChannelStats_beta,0.113113556868284
Source,Detector,hbr,Go:Group_Long,ChannelStats_power,0.767080143403987
Source,Detector,hbr,Go:Group_Long,ChannelStats_se,0.191286157644509
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_p,0.177769793946346
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_q,0.474052783856922
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_tstat,-1.36365801364498
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_beta,-0.260361745000145
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_power,0.666444174975464
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_se,0.190928915017492
